hour,irradiance_w_m2,solar_input_w,required_power_w,net_power_w,battery_wh,soc_pct
8.0,0.0,0.0,21.409017326675155,-21.409017326675155,7.594294937227658,91.16800644931162
8.033333333333333,11.126156235642735,0.790583373634367,21.409017326675155,-20.61843395304079,6.88575768798227,82.6621571186347
8.066666666666666,22.2504060616921,1.581031284877596,21.409017326675155,-19.82798604179756,6.204383597198849,74.48239612483611
8.1,33.3708433952082,2.3712082945493327,21.409017326675155,-19.03780903212582,5.55016335554504,66.62861171122498
8.133333333333333,44.4855628065021,3.1609790098868116,21.409017326675155,-18.248038316788342,4.923083001016231,59.10063626670144
8.166666666666666,55.59265984562141,3.9502081077437112,21.409017326675155,-17.458809218931442,4.323123921327865,51.89824635447617
8.2,66.69023136866797,4.738760357777076,21.409017326675155,-16.67025696889808,3.7502628571045635,45.021162750354904
8.233333333333333,77.77637586389174,5.52650064561834,21.409017326675155,-15.882516681056815,3.2044719058654976,38.469050490582205
8.266666666666666,88.84919377750515,6.313293996024482,21.409017326675155,-15.095723330650673,2.6857185268053367,32.24151892923574
8.299999999999999,99.90678783916164,7.099005596005329,21.409017326675155,-14.310011730669826,2.1939655463699475,26.338121805161435
8.333333333333332,110.94726338704346,7.883500817923082,21.409017326675155,-13.525516508752073,1.7291711646258898,20.758357318438055
8.366666666666665,121.96872869250197,8.666645242560058,21.409017326675155,-12.742372084115097,1.2912889624226218,15.501668216358006
8.399999999999999,132.96929528419577,9.448304682150733,21.409017326675155,-11.960712644524422,0.8802679093461812,10.567441888909737
8.433333333333332,143.94707827167042,10.228345203374126,21.409017326675155,-11.18067212330103,0.4960523724629842,5.955010473745309
8.466666666666665,154.90019666832478,11.006633150302584,21.409017326675155,-10.402384176372571,0.13858212585224294,1.6636509706151614
8.499999999999998,165.82677371370843,11.783035167303042,21.409017326675155,-9.625982159372112,0.0,0.0
8.533333333333331,176.72493719509484,12.557418221886817,21.409017326675155,-8.851599104788338,0.0,0.0
8.566666666666665,187.59281976827526,13.329649627504029,21.409017326675155,-8.079367699171126,0.0,0.0
8.599999999999998,198.4285592775189,14.099597066278799,21.409017326675155,-7.309420260396356,0.0,0.0
8.633333333333331,209.23029907464334,14.867128611681183,21.409017326675155,-6.541888714993972,0.0,0.0
8.666666666666664,219.99618833714186,15.632112751132142,21.409017326675155,-5.776904575543012,0.0,0.0
8.699999999999998,230.72438238531228,16.39441840853753,21.409017326675155,-5.014598918137626,0.0,0.0
8.73333333333333,241.41304299833334,17.153914966747312,21.409017326675155,-4.255102359927843,0.0,0.0
8.766666666666664,252.06033872923445,17.910472289936145,21.409017326675155,-3.49854503673901,0.0,0.0
8.799999999999997,262.6644452187044,18.663960745901452,21.409017326675155,-2.745056580773703,0.0,0.0
8.83333333333333,273.2235455076864,19.41425122827529,21.409017326675155,-1.9947660983998645,0.0,0.0
8.866666666666664,283.7358303487043,20.161215178645993,21.409017326675155,-1.2478021480291623,0.0,0.0
8.899999999999997,294.19949851586796,20.90472460858605,21.409017326675155,-0.5042927180891041,0.0,0.0
8.93333333333333,304.6127571135042,21.644652121582258,21.409017326675155,0.23563479490710293,0.007461768505391592,0.08957705288585345
8.966666666666663,314.9738218833597,22.38087093486439,21.409017326675155,0.9718536081892353,0.03823713276471737,0.45902920485855186
8.999999999999996,325.2809175103252,23.113254901128883,21.409017326675155,1.7042375744537281,0.0922046559557521,1.1068986309213937
9.03333333333333,335.532277926626,23.841678530153423,21.409017326675155,2.4326612034782684,0.16923892739923058,2.0316798007110513
9.066666666666663,345.72614661442907,24.566017010299127,21.409017326675155,3.1569996836239724,0.269210584047323,3.231819736462461
9.099999999999996,355.86077690681265,25.286146229896303,21.409017326675155,3.8771289032211484,0.39198633264932603,4.705718279103554
9.13333333333333,365.9344322870496,26.001942798510427,21.409017326675155,4.592925471835272,0.5374289725907764,6.451728362434291
9.166666666666663,375.94538668614985,26.713284068084402,21.409017326675155,5.304266741409247,0.7053974194020691,8.468156295342967
9.199999999999996,385.8919247786135,27.420048153953662,21.409017326675155,6.011030827278507,0.8957467289325551,10.753262052011465
9.233333333333329,395.7723422763434,28.122113955730544,21.409017326675155,6.713096629055389,1.1083281221859758,13.305259570059732
9.266666666666662,405.58494622066576,28.81936117805414,21.409017326675155,7.410343851378986,1.342989010812977,16.122317056578357
9.299999999999995,415.3280552724103,29.511670351202362,21.409017326675155,8.102653024527207,1.5995730232563385,19.202557301996862
9.333333333333329,424.99999999999864,30.1989228515624,21.409017326675155,8.789905524887246,1.8779200315444347,22.54405800173391
9.366666666666662,434.5991231654928,30.881000921956296,21.409017326675155,9.471983595281142,2.1778661787283373,26.14485208557428
